['PA166 (07:55)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 1096 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1186 mts.', 'Servicio 113E', 'Proximo', 'Entre 10 Y 16 min.  Viene a 485 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 615 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 503 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 3843 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 311 mts.', 'Siguiente', 'Menos de 5 min. Viene a 771 mts.']
['PA166 (07:58)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 956 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1146 mts.', 'Servicio 113E', 'Proximo', 'Entre 10 Y 16 min.  Viene a 465 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 515 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 303 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3643 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 1 mts.', 'Siguiente', 'Menos de 5 min. Viene a 631 mts.']
['PA166 (08:02)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 596 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1096 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 335 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 385 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 213 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3003 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 451 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1291 mts.']
['PA166 (08:05)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 436 mts.', 'Siguiente', 'Menos de 5 min. Viene a 876 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 305 mts.', 'Siguiente', 'Menos de 5 min. Viene a 335 mts.', 'Servicio 115', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1563 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 5053 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 401 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1061 mts.']
['PA166 (08:08)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 76 mts.', 'Siguiente', 'Menos de 5 min. Viene a 726 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 305 mts.', 'Siguiente', 'Menos de 5 min. Viene a 335 mts.', 'Servicio 115', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1293 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 4963 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 391 mts.', 'Siguiente', 'Menos de 5 min. Viene a 841 mts.']
['PA166 (08:12)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 586 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 4586 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 15 mts.', 'Siguiente', 'Menos de 5 min. Viene a 95 mts.', 'Servicio 115', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1293 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 4873 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 321 mts.', 'Siguiente', 'Menos de 5 min. Viene a 761 mts.']
['PA166 (08:15)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 346 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 3746 mts.', 'Servicio 113E', 'Proximo', 'Entre 12 Y 20 min.  Viene a 445 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 545 mts.', 'Servicio 115', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1253 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 4863 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 291 mts.', 'Siguiente', 'Menos de 5 min. Viene a 581 mts.']
['PA166 (08:18)', 'Inicio', 'Servicio 113', 'Proximo', 'Menos de 5 min. Viene a 76 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 3456 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 335 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 345 mts.', 'Servicio 115', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1243 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 4853 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 121 mts.', 'Siguiente', 'Menos de 5 min. Viene a 421 mts.']
['PA166 (08:22)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 14 Y 22 min.  Viene a 3306 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 4686 mts.', 'Servicio 113E', 'Proximo', 'Menos de 5 min. Viene a 255 mts.', 'Siguiente', 'Menos de 5 min. Viene a 275 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 1103 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 4813 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Menos de 5 min. Viene a 311 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 4121 mts.']
['PA166 (08:24)', 'Inicio', 'Servicio 113', 'Proximo', 'Entre 12 Y 20 min.  Viene a 2896 mts.', 'Siguiente', 'Entre 21 Y 31 min.  Viene a 4136 mts.', 'Servicio 113E', 'Proximo', 'Entre 13 Y 21 min.  Viene a 535 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 545 mts.', 'Servicio 115', 'Proximo', 'Menos de 5 min. Viene a 1073 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 4723 mts.', 'Servicio 122', 'Fuera de horario de operacion para este paradero', 'Servicio 125', 'Proximo', 'Entre 21 Y 31 min.  Viene a 3481 mts.', 'Siguiente', 'Mas de 25 min. Viene a 6581 mts.']
