['PC1148 (07:19)', 'Inicio']
['PC1148 (07:22)', 'Inicio']
['PC1148 (07:26)', 'Inicio']
['PC1148 (07:30)', 'Inicio']
['PC1148 (07:33)', 'Inicio']
['PC1148 (07:36)', 'Inicio']
['PC1148 (07:40)', 'Inicio']
['PC1148 (07:43)', 'Inicio']
['PC1148 (07:46)', 'Inicio']
['PC1148 (07:50)', 'Inicio']
['PC1148 (07:53)', 'Inicio']
['PC1148 (07:56)', 'Inicio']
['PC1148 (07:59)', 'Inicio']
['PC1148 (08:02)', 'Inicio']
['PC1148 (08:06)', 'Inicio']
['PC1148 (08:09)', 'Inicio']
['PC1148 (08:13)', 'Inicio']
['PC1148 (08:16)', 'Inicio']
['PC1148 (08:19)', 'Inicio']
['PC1148 (08:22)', 'Inicio']
['PC1148 (08:25)', 'Inicio']
['PC1148 (08:28)', 'Inicio']
['PC1148 (08:31)', 'Inicio']
['PC1148 (08:34)', 'Inicio']
['PC1148 (08:37)', 'Inicio']
['PC1148 (08:39)', 'Inicio']
['PC1148 (08:49)', 'Inicio']
['PC1148 (08:52)', 'Inicio']
['PC1148 (08:55)', 'Inicio']
['PC1148 (08:58)', 'Inicio']
['PC1148 (09:00)', 'Inicio']
['PC1148 (09:04)', 'Inicio']
['PC1148 (09:07)', 'Inicio']
['PC1148 (09:10)', 'Inicio']
['PC1148 (09:12)', 'Inicio']
['PC1148 (09:14)', 'Inicio']
['PC1148 (09:17)', 'Inicio']
['PC1148 (09:20)', 'Inicio']
['PC1148 (09:23)', 'Inicio']
['PC1148 (09:25)', 'Inicio']
