['PA335 (07:55)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 706 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1576 mts.', 'Servicio 510', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2850 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3780 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 661 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 2441 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1550 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1590 mts.']
['PA335 (07:58)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 386 mts.', 'Siguiente', 'Menos de 5 min. Viene a 726 mts.', 'Servicio 510', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1890 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2780 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 361 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1551 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 410 mts.', 'Siguiente', 'Menos de 5 min. Viene a 670 mts.']
['PA335 (08:01)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 06 Y 10 min.  Viene a 1616 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 2756 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 490 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1500 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 681 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1661 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 580 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4720 mts.']
['PA335 (08:05)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 476 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1646 mts.', 'Servicio 510', 'Proximo', 'Entre 16 Y 26 min.  Viene a 7390 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9570 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 21 mts.', 'Siguiente', 'Menos de 5 min. Viene a 471 mts.', 'Servicio 516', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3770 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4480 mts.']
['PA335 (08:08)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 706 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3266 mts.', 'Servicio 510', 'Proximo', 'Entre 14 Y 22 min.  Viene a 6540 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9540 mts.', 'Servicio 513', 'Proximo', 'Entre 11 Y 19 min.  Viene a 3051 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 5761 mts.', 'Servicio 516', 'Proximo', 'Entre 06 Y 10 min.  Viene a 3020 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 3750 mts.']
['PA335 (08:12)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2156 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2586 mts.', 'Servicio 510', 'Proximo', 'Entre 09 Y 15 min.  Viene a 4680 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 8590 mts.', 'Servicio 513', 'Proximo', 'Entre 07 Y 13 min.  Viene a 1911 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 5361 mts.', 'Servicio 516', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1800 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2680 mts.']
['PA335 (08:15)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1346 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1736 mts.', 'Servicio 510', 'Proximo', 'Entre 07 Y 13 min.  Viene a 3800 mts.', 'Siguiente', 'Entre 17 Y 27 min.  Viene a 7490 mts.', 'Servicio 513', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1101 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 4711 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 850 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1610 mts.']
['PA335 (08:18)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 696 mts.', 'Siguiente', 'Menos de 5 min. Viene a 756 mts.', 'Servicio 510', 'Proximo', 'Entre 06 Y 10 min.  Viene a 3180 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 6720 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 671 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 3911 mts.', 'Servicio 516', 'Siguiente', 'Menos de 5 min. Viene a 420 mts.']
['PA335 (08:21)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 336 mts.', 'Siguiente', 'Menos de 5 min. Viene a 436 mts.', 'Servicio 510', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2330 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5660 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 211 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3371 mts.', 'Servicio 516', 'Proximo', 'Entre 15 Y 23 min.  Viene a 6720 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 7400 mts.']
['PA335 (08:24)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 376 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3446 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 1510 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 4480 mts.', 'Servicio 513', 'Proximo', 'Entre 08 Y 14 min.  Viene a 2241 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2471 mts.', 'Servicio 516', 'Proximo', 'Entre 12 Y 20 min.  Viene a 5950 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6570 mts.']
