['PC199 (07:56)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 24 Y 34 min.  Viene a 8447 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9267 mts.', 'Servicio 426', 'Proximo', 'Menos de 5 min. Viene a 783 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 5813 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 566 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1186 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 574 mts.', 'Siguiente', 'Menos de 5 min. Viene a 904 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1456 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3336 mts.', 'Servicio 514', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1382 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3772 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (07:59)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 23 Y 33 min.  Viene a 8147 mts.', 'Siguiente', 'Entre 24 Y 34 min.  Viene a 8417 mts.', 'Servicio 426', 'Proximo', 'Menos de 5 min. Viene a 153 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 5023 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 496 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1466 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 534 mts.', 'Siguiente', 'Menos de 5 min. Viene a 624 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 466 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2966 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 662 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2872 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (08:02)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 21 Y 31 min.  Viene a 7467 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 7817 mts.', 'Servicio 426', 'Proximo', 'Entre 15 Y 25 min.  Viene a 4773 mts.', 'Siguiente', 'Mas de 25 min. Viene a 14703 mts.', 'Servicio 505', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1006 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 2676 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 194 mts.', 'Siguiente', 'Menos de 5 min. Viene a 354 mts.', 'Servicio 513', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2616 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3656 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 402 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2402 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (08:06)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 17 Y 27 min.  Viene a 6397 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 6957 mts.', 'Servicio 426', 'Proximo', 'Entre 11 Y 19 min.  Viene a 3813 mts.', 'Siguiente', 'Mas de 25 min. Viene a 13663 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 566 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 2086 mts.', 'Servicio 508', 'Proximo', 'Entre 08 Y 14 min.  Viene a 1784 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 4124 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1626 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3166 mts.', 'Servicio 514', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1462 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3632 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (08:09)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 15 Y 25 min.  Viene a 5857 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 6647 mts.', 'Servicio 426', 'Proximo', 'Entre 11 Y 17 min.  Viene a 3643 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12763 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 36 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1466 mts.', 'Servicio 508', 'Proximo', 'Entre 05 Y 09 min.  Viene a 1484 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 3844 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 846 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2806 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 892 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3112 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (08:13)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 13 Y 21 min.  Viene a 4897 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 5727 mts.', 'Servicio 426', 'Proximo', 'Entre 10 Y 16 min.  Viene a 3333 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12423 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 866 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1516 mts.', 'Servicio 508', 'Proximo', 'Entre 03 Y 07 min.  Viene a 914 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 2864 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 16 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1776 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 562 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2212 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (08:16)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 11 Y 17 min.  Viene a 4047 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 4997 mts.', 'Servicio 426', 'Proximo', 'Entre 08 Y 14 min.  Viene a 2883 mts.', 'Siguiente', 'Mas de 25 min. Viene a 11433 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 446 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1266 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 424 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 2184 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 716 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2756 mts.', 'Servicio 514', 'Proximo', 'Entre 05 Y 09 min.  Viene a 1612 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 2192 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (08:19)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 10 Y 16 min.  Viene a 3827 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 4877 mts.', 'Servicio 426', 'Proximo', 'Entre 07 Y 11 min.  Viene a 2523 mts.', 'Siguiente', 'Mas de 25 min. Viene a 10663 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 606 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1286 mts.', 'Servicio 508', 'Proximo', 'Entre 05 Y 09 min.  Viene a 1504 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1554 mts.', 'Servicio 513', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1996 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2706 mts.', 'Servicio 514', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1332 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1482 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (08:22)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3417 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4427 mts.', 'Servicio 426', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1623 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9883 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 636 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 1456 mts.', 'Servicio 508', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1304 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1324 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 976 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1556 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 332 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1242 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PC199 (08:25)', 'Inicio', 'Servicio 406', 'Proximo', 'Entre 07 Y 13 min.  Viene a 3207 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4017 mts.', 'Servicio 426', 'Proximo', 'Menos de 5 min. Viene a 613 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9293 mts.', 'Servicio 505', 'Proximo', 'Menos de 5 min. Viene a 56 mts.', 'Siguiente', 'Menos de 5 min. Viene a 856 mts.', 'Servicio 508', 'Proximo', 'Menos de 5 min. Viene a 654 mts.', 'Siguiente', 'Menos de 5 min. Viene a 654 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 26 mts.', 'Siguiente', 'Menos de 5 min. Viene a 456 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 462 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2642 mts.', 'Servicio 514C', 'Fuera de horario de operacion para este paradero', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
