['PA384 (08:03)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 15 Y 25 min.  Viene a 8017 mts.', 'Siguiente', 'Mas de 25 min. Viene a 13107 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1086 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 2226 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:07)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 15 Y 23 min.  Viene a 7697 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12947 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 286 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2006 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:10)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 13 Y 21 min.  Viene a 6797 mts.', 'Siguiente', 'Mas de 25 min. Viene a 12817 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 26 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1806 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:14)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 13 Y 21 min.  Viene a 6507 mts.', 'Siguiente', 'Mas de 25 min. Viene a 11837 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1066 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 1996 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:17)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 12 Y 20 min.  Viene a 6307 mts.', 'Siguiente', 'Entre 24 Y 34 min.  Viene a 10547 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 976 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 1906 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:20)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 10 Y 16 min.  Viene a 5297 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 9957 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 236 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1686 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:23)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 06 Y 10 min.  Viene a 3587 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4757 mts.', 'Servicio 514', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1276 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 2236 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:26)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2807 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4407 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 1076 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 1886 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:29)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 2167 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4237 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 886 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 1696 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
['PA384 (08:32)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1237 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 3447 mts.', 'Servicio 514', 'Proximo', 'Menos de 5 min. Viene a 66 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1196 mts.', 'Servicio 515N', 'Fuera de horario de operacion para este paradero']
