['PJ113 (08:41)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 13 Y 21 min.  Viene a 5984 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 8324 mts.']
['PJ113 (08:48)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3794 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6474 mts.']
['PJ113 (08:51)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2504 mts.', 'Siguiente', 'Entre 13 Y 21 min.  Viene a 5944 mts.']
['PJ113 (08:54)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1464 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 5434 mts.']
['PJ113 (08:57)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 224 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 4734 mts.']
['PJ113 (08:59)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3424 mts.', 'Siguiente', 'Entre 21 Y 31 min.  Viene a 8594 mts.']
['PJ113 (09:03)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2544 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 7044 mts.']
['PJ113 (09:06)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1474 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 6044 mts.']
['PJ113 (09:08)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 974 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5654 mts.']
['PJ113 (09:11)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 11 Y 19 min.  Viene a 5034 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 8664 mts.']
['PJ113 (09:13)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 11 Y 17 min.  Viene a 4984 mts.', 'Siguiente', 'Entre 19 Y 29 min.  Viene a 7844 mts.']
['PJ113 (09:16)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4704 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 6974 mts.']
['PJ113 (09:19)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 09 Y 15 min.  Viene a 4134 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 6154 mts.']
['PJ113 (09:22)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2894 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 5414 mts.']
['PJ113 (09:24)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2134 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 5034 mts.']
